"","Pressão","Nivel Tank","Nivel Barril","Temperatura1","Temperatura 2","Temperatura 3","Temperatura 4","Temperatura 5","Velocidade 1","Velocidade 2","Velocidade 3","Velocidade 4","Velocidade 5","Velocidade 6","Vibração 1","Vibração2","Vibração 3","Vibração 4","Cor 1","Cor 2","Target"
"","5994.7974","7998.1232","349.60933","449.851995","149.96535","149.97909","149.86851","17.167335","3599.163","3598.794","3599.694","3599.58888","3599.9802","3599.6526","59.9604","59.881068","59.91405","59.991702","0","2","0"
"","5994.1032","7991.6384","349.5086","449.292015","149.81031","149.84325","149.867025","6.04812","3598.06392","3592.35936","3596.12532","3597.111","3598.38792","3598.98732","59.83734","59.843508","59.878362","59.942184","1","1","0"
"","5990.8386","7988.6112","349.34578","449.17542","149.77182","149.84235","149.863365","6.94011","3597.75828","3591.22392","3595.4046","3595.72932","3597.65892","3597.50052","59.729496","59.792616","59.859348","59.927454","0","2","0"
"","5986.9632","7987.248","349.263635","449.131455","149.682075","149.82699","149.653875","146.24925","3594.23388","3589.28496","3593.82456","3593.12472","3596.33448","3595.16304","59.668626","59.773488","59.836644","59.925996","0","1","0"
"","5983.2906","7984.1512","349.254605","448.94358","149.54448","149.69091","149.64093","88.285155","3588.91416","3588.6258","3592.42128","3590.07336","3595.62852","3593.55456","59.634102","59.75652","59.741994","59.925906","1","1","0"
"","5976.0678","7975.2816","348.76135","448.66188","149.495805","149.579625","149.182515","12.202425","3585.35592","3583.46232","3590.47728","3587.53428","3594.15144","3589.94772","59.499942","59.743674","59.655204","59.882952","1","2","0"
"","5965.8828","7969.9104","348.52923","448.55595","149.469405","149.43657","149.032935","128.609925","3582.83664","3582.32868","3588.3504","3585.71772","3590.52516","3588.35112","59.490318","59.69775","59.641686","59.811984","1","0","0"
"","5958.1044","7966.5904","348.09831","448.54308","149.305305","149.3892","149.00388","89.81349","3578.79744","3579.318","3587.4252","3584.5452","3586.33692","3586.68072","59.372382","59.56878","59.602242","59.801688","1","1","0"
"","5950.2468","7964.7224","347.86696","448.402455","149.05605","149.26176","148.801455","86.881485","3577.40496","3577.61916","3581.88444","3582.70992","3585.01536","3584.71548","59.370054","59.551776","59.522712","59.795946","0","2","0"
"","5948.0058","7958.5176","347.82349","448.00893","148.831245","148.850445","148.761975","149.71245","3577.374","3573.17892","3577.26456","3581.44128","3582.24552","3582.9792","59.367378","59.53083","59.351706","59.694648","1","2","0"
"","5945.7846","7957.1","347.82223","447.43725","148.72338","148.78458","148.75503","40.528365","3575.5884","3572.01","3576.5982","3579.165","3576.84768","3582.37368","59.362302","59.511636","59.306958","59.614422","0","1","0"
"","5945.3274","7955.1648","347.720065","447.161895","148.1835","148.429605","148.58763","49.650525","3574.46916","3569.54364","3576.58164","3579.11172","3574.78632","3581.0658","59.336502","59.491818","59.299278","59.603448","0","0","0"
"","5943.7896","7953.4128","347.691925","446.74119","148.15668","148.36698","148.549755","106.000665","3573.1674","3568.92192","3575.93292","3578.78196","3570.19812","3579.8418","59.318484","59.4513","59.286084","59.554332","1","0","0"
"","5937.9588","7942.1616","347.58101","446.35194","147.886665","148.340025","148.290885","33.46374","3570.7644","3567.67416","3575.66868","3577.4208","3562.90524","3579.25032","59.273676","59.42175","59.25846","59.540622","0","2","0"
"","5933.8224","7939.0152","347.128425","445.781565","147.69708","148.24068","148.203345","20.007795","3565.83852","3561.90012","3575.42136","3576.03804","3562.11468","3577.1148","59.152776","59.397618","59.149104","59.534862","0","1","0"
"","5927.5626","7928.5752","346.290525","445.602645","147.668745","148.23132","147.927195","137.442465","3565.50048","3558.48984","3575.36268","3575.50848","3559.41288","3575.43792","59.026476","59.37048","59.103882","59.488956","1","0","0"
"","5924.9364","7928.5248","346.2662","445.596255","147.58155","148.145115","147.894435","62.940045","3559.69224","3556.65492","3573.20484","3574.63728","3556.85832","3573.97812","59.018088","59.343996","59.041692","59.436564","1","1","0"
"","5918.7972","7928.3176","346.142545","445.5945","147.54561","148.0071","147.890085","88.1967","3559.1004","3556.08576","3568.32252","3574.45836","3553.3584","3573.2466","58.88742","59.199042","59.02134","59.395836","0","1","0"
"","5916.0918","7925.6688","346.02155","445.57083","147.502215","147.817845","147.88887","126.641325","3558.71088","3554.99316","3567.0654","3574.2816","3549.9924","3567.83724","58.88193","59.189496","58.987806","59.389212","0","2","0"
"","5904.0666","7925.3472","345.73245","444.80223","147.48717","147.672705","147.86712","78.08235","3557.85912","3553.88184","3566.4714","3572.07336","3546.33804","3566.67264","58.790484","59.174436","58.945248","59.378142","1","0","0"
"","5902.6236","7924.7424","345.35669","444.73752","147.45966","147.5529","147.86058","130.72428","3555.92772","3552.71328","3560.8752","3568.38264","3542.81832","3564.53352","58.7523","59.174052","58.917132","59.318544","0","2","0"
"","5900.9682","7912.9288","345.26772","444.549645","147.37011","147.54819","147.82698","53.358135","3555.32976","3551.24628","3555.25092","3568.06728","3542.27436","3563.92512","58.750614","59.172534","58.905786","59.315262","1","1","0"
"","5896.818","7910.4384","344.981385","444.484755","147.26487","147.4308","147.737655","16.99983","3554.61012","3549.64572","3553.32672","3566.08908","3541.65588","3549.49956","58.728684","59.1348","58.899744","59.30277","1","0","0"
"","5890.8834","7901.7672","344.889755","444.47589","147.24972","147.387255","147.71508","38.098935","3552.30396","3544.05024","3547.1556","3564.93348","3539.69748","3549.0708","58.643574","59.100576","58.891764","59.2263","0","2","0"
"","5882.4156","7899.8344","344.88377","444.03201","147.089985","147.34314","147.71421","26.869845","3546.54648","3539.54196","3545.35848","3561.64308","3539.2158","3548.35224","58.636482","59.08761","58.889076","59.14059","0","1","0"
"","5879.8422","7889.5664","344.782865","443.98521","146.948025","147.228675","147.341955","3.96831","3546.37008","3535.60716","3543.24636","3557.97288","3535.34868","3546.9918","58.560168","59.05383","58.825374","59.064024","0","2","0"
"","5877.7236","7887.9944","344.48463","443.970585","146.939205","147.14565","147.31749","27.695265","3544.86132","3534.44904","3537.85176","3555.83988","3530.06964","3545.253","58.551564","59.050014","58.820022","58.956384","1","1","0"
"","5868.7836","7882.2248","344.21261","443.955015","146.908785","147.119595","147.13668","144.63999","3538.48176","3534.03108","3530.00124","3554.18712","3527.25876","3539.12184","58.511946","59.02272","58.720386","58.930596","0","2","0"
"","5868.5616","7876.1888","344.09193","443.718405","146.77803","147.10452","146.956635","116.50809","3536.59932","3527.00388","3529.45944","3553.89444","3524.16276","3531.3876","58.502166","59.011062","58.717374","58.89042","0","0","0"
"","5867.514","7867.4968","344.0682","443.114955","146.592135","146.93871","146.931","111.336255","3532.72428","3525.74856","3527.16012","3553.31088","3519.02772","3527.61408","58.496952","59.005932","58.648794","58.859112","1","0","0"
"","5862.4776","7867.464","343.72058","443.06334","146.17773","146.853105","146.83545","108.675375","3532.32396","3524.71536","3519.39132","3549.59532","3516.90084","3527.09424","58.469262","58.94868","58.645854","58.75902","0","1","0"
"","5857.77","7866.3808","342.773235","442.861425","145.999665","146.699925","146.82474","125.19159","3530.8296","3523.11228","3519.21348","3548.27808","3516.5178","3526.21368","58.447632","58.946334","58.642692","58.667004","0","0","0"
"","5857.332","7861.5328","342.66561","442.59867","145.86399","146.639115","146.771415","147.67812","3530.2104","3521.62152","3515.32692","3544.45452","3515.49324","3525.51204","58.433268","58.936458","58.62237","58.640298","1","2","0"
"","5856.939","7852.8208","342.46142","442.477575","145.7952","146.58591","146.71941","31.731","3529.93644","3521.15532","3513.05568","3537.59832","3508.33356","3524.10408","58.248372","58.906974","58.583892","58.629096","0","0","0"
"","5853.9042","7848.6576","341.48702","442.46385","145.618575","146.43003","146.70555","3.518175","3529.458","3519.1314","3512.39544","3534.93936","3507.19452","3519.2556","58.232742","58.902996","58.449294","58.627998","1","2","0"
"","5846.6214","7845.9504","341.434275","442.45494","145.33026","146.37417","146.518815","84.286125","3528.08388","3516.44004","3508.02612","3534.40404","3506.56056","3518.27928","58.086306","58.89291","58.331364","58.580388","0","2","0"
"","5835.1512","7844.2408","340.908225","442.319175","145.320255","146.04951","146.50659","105.220845","3523.56696","3516.11892","3507.39792","3533.31684","3505.56156","3513.99852","58.03191","58.868166","58.25268","58.518924","0","0","0"
"","5834.4996","7833.8968","340.89692","442.150155","145.16766","145.739925","146.473695","66.889215","3520.80324","3515.56416","3506.35572","3531.3948","3504.1608","3510.68184","58.004766","58.801722","58.232622","58.499766","0","2","0"
"","5828.8566","7832.1864","340.36926","442.132695","145.084035","145.64073","146.403435","9.80601","3517.80444","3514.72464","3500.07192","3531.20904","3500.51868","3507.12","57.951696","58.79844","58.176522","58.498266","1","1","0"
"","5827.6722","7819.06","340.32306","441.724095","144.88041","145.5237","146.39172","5.87103","3517.0452","3512.02464","3492.25272","3525.85116","3499.21224","3506.08572","57.926346","58.738092","58.150512","58.410486","1","2","0"
"","5827.26","7817.06","339.885595","441.68472","144.777495","145.51905","146.36352","86.176155","3514.0968","3506.05872","3491.47476","3525.11928","3494.04768","3503.9088","57.820038","58.736148","58.117176","58.392198","0","1","0"
"","5826.2064","7817.0016","338.984275","441.50256","144.599985","145.51602","146.216685","27.516465","3512.02428","3503.74428","3486.56544","3524.12064","3493.67724","3503.19672","57.804708","58.682436","58.053642","58.326174","0","1","0"
"","5821.2276","7813.432","338.955015","440.996625","144.59526","145.347525","146.127585","63.73008","3509.5626","3503.2626","3485.34","3522.49452","3493.03788","3501.89172","57.793734","58.673058","58.0521","58.311048","0","1","0"
"","5808.4908","7808.2168","338.77221","440.682615","144.34008","145.282365","146.0694","129.91896","3508.39332","3502.50984","3482.3412","3517.101","3490.34112","3499.36092","57.778212","58.6461","58.048812","58.250412","0","0","0"
"","5803.4814","7806.3416","338.7531","440.221905","144.28905","145.27446","145.95393","106.639155","3508.35408","3502.0242","3477.933","3515.0472","3485.09376","3497.86152","57.774714","58.617048","57.879534","58.127688","1","1","0"
"","5793.6408","7801.464","338.553215","440.183295","144.17856","145.112415","145.90407","23.848095","3508.22736","3499.72128","3466.60992","3513.5964","3481.9074","3497.11344","57.763614","58.60842","57.867006","58.011888","0","0","0"
"","5782.6182","7793.6056","338.400195","439.794","144.092145","145.05105","145.803195","125.88672","3506.09472","3497.47704","3465.62604","3512.89188","3481.23024","3496.37436","57.762714","58.546926","57.838248","57.967824","1","2","0"
"","5781.5358","7793.2328","338.297365","439.561845","144.00015","145.028715","145.69386","53.369655","3505.58532","3494.03904","3463.95996","3512.799","3480.70824","3492.98064","57.739644","58.532694","57.755922","57.96195","1","2","0"
"","5778.8094","7793.232","338.26072","439.559055","143.733675","144.90684","145.689465","0.996795","3502.81332","3492.57888","3460.44528","3511.93572","3480.21","3491.06328","57.716892","58.322226","57.740172","57.952056","1","0","0"
"","5773.5564","7790.1232","338.23349","439.469055","143.64012","144.79746","145.680105","9.361665","3502.59336","3491.51868","3460.31712","3511.55772","3478.65012","3490.80696","57.70215","58.274298","57.671022","57.906288","0","2","0"
"","5768.1918","7779.792","338.19751","439.051725","143.59551","144.728835","145.51638","52.876515","3502.42632","3489.81624","3460.08672","3508.68852","3476.85552","3490.1856","57.650628","58.244808","57.638916","57.847098","1","1","0"
"","5766.663","7762.4504","337.87523","438.122025","143.54145","144.70554","145.4706","25.642425","3496.26024","3489.69384","3455.85996","3504.78252","3473.53812","3483.48672","57.616704","58.22913","57.604056","57.764484","0","0","0"
"","5766.6","7759.8776","337.693335","438.060465","143.43246","144.68631","145.412295","17.312385","3490.24572","3488.19444","3453.32916","3502.18908","3469.00752","3480.22296","57.58935","58.21878","57.553668","57.726522","0","2","0"
"","5760.2502","7759.4544","337.39062","437.648085","143.325735","144.49113","145.37142","117.343095","3486.55932","3486.4902","3451.4118","3500.62992","3466.224","3480.15096","57.553974","58.157778","57.52209","57.695268","1","2","0"
"","5757.348","7757.0368","336.602035","437.303295","143.25597","144.434265","145.163295","28.558095","3484.84608","3482.19756","3448.60056","3497.22252","3460.07088","3479.76792","57.541212","58.137024","57.508278","57.652986","0","2","0"
"","5755.8684","7751.1624","336.581175","436.468455","143.09226","144.05967","145.103715","22.302285","3483.585","3479.54364","3447.8586","3495.49092","3456.47988","3477.62484","57.461856","58.089942","57.43839","57.620472","0","0","0"
"","5755.8612","7748.3928","335.19241","436.450005","142.78431","144.031095","145.077255","15.582705","3482.82972","3477.11868","3443.66784","3493.11096","3456.45324","3468.69828","57.451962","58.069296","57.396696","57.581988","1","1","0"
"","5755.707","7734.0616","334.815775","435.286935","142.770195","143.884455","144.9756","23.53857","3476.80836","3466.422","3441.67812","3491.46864","3453.84504","3468.50136","57.372","58.03362","57.328242","57.544728","0","0","0"
"","5741.7168","7717.3984","334.63066","435.21741","142.58874","143.88327","144.887025","122.847675","3476.49696","3464.7948","3437.7732","3490.74756","3451.19724","3467.33784","57.34626","57.911928","57.255948","57.391068","0","1","0"
"","5740.7136","7716.8888","334.45944","435.15747","142.548135","143.7828","144.82176","26.395095","3475.85796","3464.62488","3435.86592","3487.5108","3450.29436","3466.21968","57.214326","57.907956","57.25554","57.357582","1","2","0"
"","5737.7064","7707.9544","334.10118","434.823885","142.29057","143.69301","144.778215","47.72133","3472.66044","3464.39592","3432.78864","3486.9564","3445.40268","3464.47872","57.102696","57.797352","57.249534","57.348594","1","2","0"
"","5729.0454","7684.4264","334.09075","433.575135","142.26357","143.59119","144.75618","21.67689","3464.0478","3461.13324","3431.36088","3480.228","3440.7054","3462.70464","57.039804","57.784224","57.244614","57.34662","0","1","0"
"","5727.888","7683.3248","333.83483","433.00908","142.168485","143.550945","144.674115","148.457535","3463.36956","3459.54924","3428.89704","3476.60028","3435.94908","3459.97836","57.027534","57.750582","57.236208","57.258246","0","2","0"
"","5725.122","7679.4584","333.559905","432.735525","141.90066","143.4111","144.668295","71.01759","3461.94216","3459.11184","3428.85744","3475.31112","3434.55408","3458.82636","57.025398","57.684108","57.2016","57.235332","0","1","0"
"","5710.4292","7673.5472","333.207","432.4644","141.83991","143.313075","144.66387","58.092405","3461.68476","3458.7234","3427.98516","3474.31608","3430.15668","3457.63044","56.938644","57.621708","57.176352","57.222186","0","1","0"
"","5708.3364","7672.6664","333.10606","431.672625","141.76329","143.10723","144.44097","129.77733","3460.56624","3455.03484","3423.39048","3473.9298","3427.137","3452.58468","56.864916","57.604356","57.149454","57.179142","0","1","0"
"","5705.4348","7668.5144","332.955385","431.66574","141.73299","142.896375","144.26844","140.36322","3459.22668","3445.25976","3421.7388","3464.99244","3423.11004","3450.27744","56.833566","57.480468","57.137652","57.093006","1","1","0"
"","5698.2066","7654.3904","332.694775","431.34462","141.535875","142.842405","144.14805","1.386675","3458.11788","3444.8562","3420.5778","3463.299","3422.12796","3443.09436","56.833272","57.474072","57.103272","57.091338","0","2","0"
"","5697.7728","7652.7824","332.58722","431.329725","141.53244","142.70745","144.104955","58.849185","3453.58404","3444.59592","3417.6708","3462.80076","3419.9334","3441.80844","56.778846","57.472668","57.064404","57.020058","1","1","0"
"","5696.559","7646.4032","332.498285","431.216325","141.501465","142.66413","144.030705","69.269205","3452.54472","3437.93052","3417.59592","3460.25592","3418.81308","3440.86092","56.704668","57.298728","57.061476","57.011844","1","0","0"
"","5695.6032","7644.4856","332.479805","431.13132","141.393315","142.646715","144.00339","45.321825","3452.04504","3436.88724","3415.34304","3454.36632","3413.07828","3440.26368","56.683758","57.260616","57.060282","56.929746","1","1","0"
"","5681.3676","7641.316","332.166415","430.810155","141.297525","142.598985","143.994105","11.846895","3451.08528","3430.7478","3408.82596","3453.01884","3412.8198","3438.36144","56.63307","57.241824","57.022986","56.903874","1","1","0"
"","5679.687","7640.9264","331.70494","430.01703","141.295695","142.59369","143.98431","0.60891","3449.95956","3430.67724","3405.17484","3447.5706","3412.28988","3435.894","56.626308","57.179808","56.96334","56.86113","0","1","0"
"","5675.2968","7638.6904","331.40415","429.41592","141.26718","142.17222","143.87694","70.294965","3449.11212","3427.44408","3404.55708","3443.88888","3412.05228","3433.84236","56.468724","57.135528","56.960886","56.857296","0","0","0"
"","5674.1328","7637.5176","331.31784","429.17976","141.260175","142.074555","143.7558","59.11671","3446.03232","3426.60312","3400.56036","3438.6156","3405.9402","3432.65328","56.354358","57.109452","56.926014","56.821938","0","0","0"
"","5668.6848","7637.3328","331.162405","429.172155","141.09576","142.03788","143.74692","123.61188","3442.29012","3426.4494","3398.14224","3437.3286","3404.88288","3431.57256","56.296176","56.973144","56.816178","56.748582","0","1","0"
"","5668.0404","7623.992","330.61217","429.163785","141.082485","141.975435","143.679855","37.647765","3439.83024","3420.09072","3397.31352","3431.59344","3404.19024","3430.01952","56.245164","56.932956","56.81511","56.737782","1","0","0"
"","5665.8618","7618.812","330.466955","428.749515","141.07737","141.84507","143.57181","54.00459","3430.40112","3417.14088","3397.05324","3425.49","3400.66224","3425.85072","56.186244","56.932026","56.76042","56.601582","0","1","0"
"","5665.7526","7613.8008","330.133335","428.07447","141.062895","141.84063","143.185485","39.602955","3428.56692","3416.86008","3396.447","3422.15604","3399.54732","3425.33628","56.155194","56.900016","56.75649","56.55042","1","0","0"
"","5664.8982","7607.3192","329.917175","427.849875","141.00078","141.82965","143.143335","74.400165","3423.8448","3416.73588","3394.72872","3420.76068","3398.34348","3424.94028","56.13129","56.886216","56.743854","56.503704","0","2","0"
"","5664.4422","7601.9632","329.78848","427.637565","140.97453","141.821835","143.000805","52.818255","3422.0898","3416.47236","3394.14732","3420.52704","3389.21604","3422.8332","56.090016","56.75703","56.629476","56.503284","0","1","0"
"","5661.4512","7596.2656","329.72107","427.53942","140.955945","141.810105","142.93602","95.18253","3421.96344","3414.27348","3391.21332","3420.27288","3389.06052","3421.21212","55.979904","56.725734","56.61042","56.472552","1","1","0"
"","5657.3094","7593.1744","329.51849","427.42782","140.476635","141.72264","142.300395","146.116275","3420.08856","3412.72404","3384.16776","3419.65728","3388.88052","3418.89732","55.931892","56.699232","56.59737","56.47074","1","1","0"
"","5656.749","7581.2496","329.236565","427.414995","140.40546","141.574755","142.271835","100.597005","3419.12592","3408.71724","3381.90768","3418.8948","3385.81404","3416.07924","55.921782","56.69079","56.57253","56.435046","1","0","0"
